campus,entity,weight_sel_freq,in_minimax_q20,in_cost_q20,pareto_efficient,robust_core,contested
1,B20,0.0,False,False,False,False,False
1,B30,0.0,False,False,False,False,False
1,C10,0.0,False,False,False,False,False
1,C20,0.0,False,False,False,False,False
1,C30,0.0,False,False,False,False,False
1,D10,0.0,False,False,False,False,False
1,D20,1.0,True,True,False,True,False
1,D30,1.0,True,True,True,True,False
1,D40,0.0,False,False,False,False,False
1,D50,0.945,True,True,True,True,False
1,D90,0.103,False,False,False,False,False
1,E10,0.0,False,False,False,False,False
1,E20,0.0,False,False,False,False,False
1,G20,0.0,False,False,False,False,False
1,G30,0.0,False,False,False,False,False
2,B10,0.0,False,False,False,False,False
2,B20,0.0,False,False,False,False,False
2,B30,0.0,False,False,False,False,False
2,C10,0.0,False,False,False,False,False
2,C30,0.0,False,False,False,False,False
2,D10,0.001,False,False,False,False,False
2,D20,1.0,True,True,False,True,False
2,D30,1.0,True,True,True,True,False
2,D40,0.0,False,False,False,False,False
2,D50,0.836,True,False,False,False,False
2,D90,0.0,False,False,False,False,False
2,E10,0.001,False,True,False,False,False
2,E20,0.0,False,False,False,False,False
2,G20,0.0,False,False,False,False,False
4,B20,0.0,False,False,False,False,False
4,B30,0.0,False,False,False,False,False
4,C10,0.0,False,False,False,False,False
4,C20,0.0,False,False,False,False,False
4,C30,0.0,False,False,False,False,False
4,D10,0.0,False,False,False,False,False
4,D20,1.0,True,True,True,True,False
4,D30,1.0,False,True,True,True,False
4,D40,0.004,False,False,False,False,False
4,D50,0.997,True,True,True,True,False
4,D90,0.0,False,False,False,False,False
4,E10,0.0,False,False,False,False,False
4,E20,0.0,False,False,False,False,False
4,F10,0.0,False,False,False,False,False
4,G20,0.111,True,False,True,False,False
5,B20,0.0,False,False,False,False,False
5,B30,0.0,False,False,False,False,False
5,C10,0.0,False,False,False,False,False
5,D20,0.417,True,True,False,False,True
5,D30,1.0,True,True,True,True,False
5,D40,0.0,False,False,False,False,False
5,E20,0.0,False,False,False,False,False
8,B20,0.0,False,False,False,False,False
8,B30,0.0,False,False,False,False,False
8,C10,0.0,False,False,False,False,False
8,C20,0.0,False,False,False,False,False
8,C30,0.0,False,False,False,False,False
8,D10,0.0,False,False,False,False,False
8,D20,0.957,False,False,False,True,False
8,D30,1.0,True,True,True,True,False
8,D40,0.0,False,False,False,False,False
8,D50,0.808,False,True,True,False,False
8,D90,0.0,False,False,False,False,False
8,E10,0.708,False,False,False,False,True
8,E20,0.0,False,False,False,False,False
8,F10,0.0,False,False,False,False,False
8,G20,0.768,True,True,True,False,True
8,G30,0.0,False,False,False,False,False
8,G40,0.0,False,False,False,False,False
9,B20,0.0,False,False,False,False,False
9,B30,0.0,False,False,False,False,False
9,C10,0.0,False,False,False,False,False
9,C20,0.0,False,False,False,False,False
9,C30,0.0,False,False,False,False,False
9,D20,0.186,True,True,False,False,False
9,D30,1.0,True,True,True,True,False
9,D40,0.0,False,False,False,False,False
9,D50,1.0,True,True,False,True,False
9,D90,0.0,False,False,False,False,False
9,E10,0.158,True,False,False,False,False
9,E20,0.0,False,False,False,False,False
9,F10,0.0,False,False,False,False,False
9,G40,0.0,False,False,False,False,False
