UniversityID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,0,0,0,0,0,0,0,0,0,0,1,58,1504,27644,27303,27386,27990,26364,3,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,3142,29382,27954,5280,0
3,0,0,0,0,916,0,0,0,0,0,2631,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,47351,43455,46310,52974,50078,0,0
5,63,13907,14571,16240,18310,19778,20628,22443,23810,22998,27029,33412,34237,38637,48392,44219,32756,31468,1352,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,4,4,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,1,0,0,0,0,0,0,0,0,6476,19128,17879,16965,18888,17522,2651,0
9,0,0,0,0,0,0,14,16,71,153,8,13261,24504,27033,28662,30323,28941,30407,7575,0
10,0,62,95,21,3,0,3,0,1,11,5,69,57,1716,110264,146862,214143,221156,211144,76394
11,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,529
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136246,134695,130882,85348,31291
